T04363	sasa; Salmo salar (Atlantic salmon)
T08542	stru; Salmo trutta (river trout)
T05605	otw; Oncorhynchus tshawytscha (Chinook salmon)
T07259	omy; Oncorhynchus mykiss (rainbow trout)
T07892	ogo; Oncorhynchus gorbuscha (pink salmon)
T07952	one; Oncorhynchus nerka (sockeye salmon)
T09179	oki; Oncorhynchus kisutch (coho salmon)
T09424	oke; Oncorhynchus keta (chum salmon)
T10723	omm; Oncorhynchus masou masou (cherry salmon)
T10872	ocla; Oncorhynchus clarkii lewisi (westslope cutthroat trout)
T05762	salp; Salvelinus sp. IW2-2015 (Arctic char)
T07522	snh; Salvelinus namaycush (lake trout)
T11136	sfon; Salvelinus fontinalis (brook trout)
T08357	cclu; Coregonus clupeaformis (lake whitefish)
T04894	els; Esox lucius (northern pike)
T10927	oep; Osmerus eperlanus (European smelt)
T04919	sfm; Scleropages formosus (Asian bonytongue)
T05788	pki; Paramormyrops kingsleyae
T07545	aang; Anguilla anguilla (European eel)
T10705	arot; Anguilla rostrata (American eel)
T10633	ccog; Conger conger (European conger)
T07349	loc; Lepisosteus oculatus (spotted gar)
T07273	pspa; Polyodon spathula (Mississippi paddlefish)
T07327	arut; Acipenser ruthenus (sterlet)
T08668	psex; Polypterus senegalus (gray bichir)
T02913	lcm; Latimeria chalumnae (coelacanth)
T03088	cmk; Callorhinchus milii (elephant shark)
T06055	rtp; Rhincodon typus (whale shark)
T08871	cpla; Chiloscyllium plagiosum (whitespotted bambooshark)
T11285	cpun; Chiloscyllium punctatum (brownbanded bambooshark)
T09720	hoc; Hemiscyllium ocellatum (epaulette shark)
T11175	scau; Scyliorhinus canicula (smaller spotted catshark)
T11303	stoz; Scyliorhinus torazame (cloudy catshark)
T12063	camb; Carcharhinus amblyrhynchos (grey reef shark)
T12026	cmam; Cetorhinus maximus (basking shark)
T09122	leri; Leucoraja erinaceus (little skate)
